reference_id,direction,ref_type,ref_id,snapshot_data,created_at,action_action_id
12729944,n-12729944,ref_type-12729944,ref_id-12729944,snapshot_data-12729944,2003-09-01T08:00:00.000Z,355864
12729945,n-12729945,ref_type-12729945,ref_id-12729945,snapshot_data-12729945,2015-03-27T08:00:00.000Z,355864
12729946,n-12729946,ref_type-12729946,ref_id-12729946,snapshot_data-12729946,2011-09-06T08:00:00.000Z,355864
12729947,n-12729947,ref_type-12729947,ref_id-12729947,snapshot_data-12729947,2003-11-12T08:00:00.000Z,355864
12729948,n-12729948,ref_type-12729948,ref_id-12729948,snapshot_data-12729948,2012-05-09T08:00:00.000Z,355864
12729949,n-12729949,ref_type-12729949,ref_id-12729949,snapshot_data-12729949,2005-11-05T08:00:00.000Z,355864
12729950,n-12729950,ref_type-12729950,ref_id-12729950,snapshot_data-12729950,2003-02-25T08:00:00.000Z,355864
12729951,n-12729951,ref_type-12729951,ref_id-12729951,snapshot_data-12729951,2014-10-19T08:00:00.000Z,355864
12729952,n-12729952,ref_type-12729952,ref_id-12729952,snapshot_data-12729952,2013-01-24T08:00:00.000Z,355864
12729953,n-12729953,ref_type-12729953,ref_id-12729953,snapshot_data-12729953,2011-08-30T08:00:00.000Z,355864
12729954,n-12729954,ref_type-12729954,ref_id-12729954,snapshot_data-12729954,2002-10-07T08:00:00.000Z,355864
12729955,n-12729955,ref_type-12729955,ref_id-12729955,snapshot_data-12729955,2018-12-12T08:00:00.000Z,355864
12729956,n-12729956,ref_type-12729956,ref_id-12729956,snapshot_data-12729956,2022-12-05T08:00:00.000Z,355864
12729957,n-12729957,ref_type-12729957,ref_id-12729957,snapshot_data-12729957,2018-11-25T08:00:00.000Z,355864
12729958,n-12729958,ref_type-12729958,ref_id-12729958,snapshot_data-12729958,2008-04-14T08:00:00.000Z,355864
12729959,n-12729959,ref_type-12729959,ref_id-12729959,snapshot_data-12729959,2005-05-27T08:00:00.000Z,355864
12729960,n-12729960,ref_type-12729960,ref_id-12729960,snapshot_data-12729960,2017-03-19T08:00:00.000Z,355864
12729961,n-12729961,ref_type-12729961,ref_id-12729961,snapshot_data-12729961,2006-12-26T08:00:00.000Z,355864
12729962,n-12729962,ref_type-12729962,ref_id-12729962,snapshot_data-12729962,2010-07-23T08:00:00.000Z,355864
12729963,n-12729963,ref_type-12729963,ref_id-12729963,snapshot_data-12729963,2008-05-22T08:00:00.000Z,355864
12729964,n-12729964,ref_type-12729964,ref_id-12729964,snapshot_data-12729964,2010-07-05T08:00:00.000Z,355864
